Project;File_Path;SATD_Comment_Pre-Processed;Removal_Commit;Commit_Message_Pre-Processed;Cosine_Similarity;Change_Type;Value_In_The_Five_Level_Likert_Scale
Tomcat;java/org/apache/tomcat/util/net/SocketWrapperBase.java;todo temporari method aid refactor current expect method will remov subsequ refactor;c04626b1746df78128f5eceff34b71a9f2a2afb4;method show now sign temporari;0,3354101966;Method Removal;1
Tomcat;java/org/apache/tomcat/util/net/AprEndpoint.java;initi ssl fixm one per vm call;dbe007a1f0576f9e53666c2df8b07c28bad126c7;sslengin attribut apr lifecycl listen initi nativ ssl layer per vm http connector share attribut call sslenabl true fals valu turn ssl socket level scheme secur attribut simpli overrid request getschem request issecur valu;0,3343669275;Method Changed;4
Tomcat;java/org/apache/catalina/loader/WebappClassLoader.java;look repositori todo add support webresourceroot look class loader resoucr;bd8ea9d0e46ccf1a6691c2acc3097f95594e0e2b;add getclassloaderresourc support;0,3333333333;Method Changed;5
Tomcat;java/org/apache/catalina/core/StandardWrapperValve.java;todo servlet async;d4608002d6b176cd02ee5ce1330fcd7a6d40c072;remov complet todo;0,3333333333;Method Unchanged;5
Tomcat;java/org/apache/catalina/connector/Request.java;todo servlet async;fde85273cc4fadf475c6ada055b7deceabee7e58;remov todo implement;0,3333333333;Method Unchanged;5
Hadoop;src/java/org/apache/hadoop/ipc/metrics/RpcMetrics.java;tofix fix server use follow two metric direct metric copi;8a2b40d0726215e48b53ab22382dd49379c36249;hadoop metric instrument move new metric framework contribut luke lu;0,3333333333;Method Removal;1
Camel;tests/camel-itest-karaf/src/test/java/org/apache/camel/itest/karaf/CamelGuiceTest.java;todo actual test;16bc11f2a0580b2d74bddda06bbb0277326aa5f5;fix osgi test;0,3333333333;Method Unchanged;2
Camel;camel-core/src/test/java/org/apache/camel/builder/ErrorHandlerTest.java;todo fix test;2b0b29fd64e3b04af2436898108c4f837ae209b0;reenabl test errorhandlertest;0,3333333333;Method Changed;3
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;todo cmueller remov sslcontextparametersref look camel;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;camel remov option deprec long time;0,3333333333;Method Changed;3
Tomcat;java/org/apache/coyote/http2/Stream.java;todo possibl shutdown;642a38a0f878a64ff8144bd639ec3a1e7b3d7cf9;fix various todo;0,3333333333;Method Changed;3
Camel;camel-core/src/test/java/org/apache/camel/processor/ThreadTest.java;todo revert get delegateprocessor support async;457bcc1e475d2e4ca9e87cc050e95edb95fb8594;sm streamcachinginterceptor support async exchang handl;0,3333333333;Method Changed;5
Camel;camel-core/src/test/java/org/apache/camel/processor/AggregatorTest.java;todo fix test;6603d2e512bad2402aaa4bc31dd0b223d1faf1f0;camel enabl test;0,3333333333;Method Changed;3
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;todo cmueller remov httpbindingref look camel;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;camel remov option deprec long time;0,3333333333;Method Changed;3
Tomcat;java/org/apache/tomcat/websocket/Util.java;todo byte reader inputstream;b696517d6950550494ea5ff19e8cab6d5a622ad7;work bz add support byte inopustream reader messag handler;0,3333333333;Method Changed;5
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;todo cmueller remov httpcontextref look camel;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;camel remov option deprec long time;0,3333333333;Method Changed;3
Tomcat;java/org/apache/coyote/http2/Stream.java;todo never happen;642a38a0f878a64ff8144bd639ec3a1e7b3d7cf9;fix various todo;0,3333333333;Method Changed;3
Camel;components/camel-spring/src/test/java/org/apache/camel/spring/interceptor/TransactionalClientWithRollbackTest.java;must setup polici rout todo camel fix;bfe6dc8bcbbde23f13939901d2605cbb95b049a8;camel nd part stream cach now work togeth tx rout fix pom build due upgrad httpcore late fix cs;0,3299144395;Method Changed;2
Gerrit;webapp/src/com/google/gerrit/client/changes/ChangeListServiceImpl.java;todo sort star chang someth just id;4eead3d5dec309b75d0c5aea1255311ef721b8fa;sort star chang page last updat sign shawn pearc sop@googl com;0,3273268354;Method Changed;5
Tomcat;java/org/apache/catalina/authenticator/jaspic/provider/modules/FormAuthModule.java;authent user cach disabl todo ask requir may princip must alway cach;3f362f881c361a9f89dc3f82365a58e22b71fa26;princip cach set move parent class;0,3273268354;Method Changed;1
Gerrit;webapp/src/com/google/gerrit/client/data/ChangeDetail.java;todo sort neededbi someth reason id;50d4ee060ac88cd5d14d4f2154e28430cb1c8dad;remov comment sort chang depend sort quit stabl chang id reason current gerrit system sequenti due singl sequenc generat assign chang id order sign shawn pearc sop@googl com;0,3268602252;Method Unchanged;5
Hadoop;hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/container/ContainerImpl.java;todo race can lead contain launch event state kill contain will never kill nm;2fe343f96348e894e6ed16c447c8c77ba1611d11;mapreduc fix nodemanag abl forc cleanup contain process tree irrespect whether contain succeed kill contribut hitesh shah;0,3244428423;Method Changed;1
Camel;components/camel-mail/src/main/java/org/apache/camel/component/mail/MailMessage.java;todo reus spring mail support handl attach now convert mail attach put msg;9a9e8041610ec05e9a35987ed6b748c4de341901;camel ad unit test mail attach use wiki document;0,3233808334;Method Changed;1
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultExecutorServiceManager.java;todo lookup method possibl remov replac use method logic;7301fc7cca70c41bbf7d8c135995298380408191;camel lookup method executorservicemanag longer need ad custom threadpoolfactori test possibl configur xml dsl;0,3223291856;Method Removal;4
Camel;camel-core/src/main/java/org/apache/camel/processor/interceptor/DefaultChannel.java;todo rout context task can like ad defaultroutecontext per rout;50154f3b0fc7a888f756f1bf587d19a788c537b4;camel optim rout engin reduc stack frame use rout work progress;0,3202563076;Method Changed;2
Camel;components/camel-sql/src/main/java/org/apache/camel/component/sql/SqlConsumer.java;todo support camel;f4ac386e5d74f75d0e0de9d46f989925f633bede;camel camel sql consum can now onconsum delet row process etc;0,3202563076;Method Changed;1
Camel;camel-core/src/main/java/org/apache/camel/processor/RecipientList.java;method invok @recipientlist bridg empti callback todo @recipientlist support async box;50992943b7cdce656b458007ddca4f91743897a9;camel @recipientlist @routingslip now support async rout engin camel producertempl method now throw camelexeuctionexcept consist;0,3181423815;Method Removal;4
Camel;components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaConverter.java;todo camel type convert string accept charset paramet handl encod;f0518fdbe904be4803de2bf71182ab918b1321e0;camel camel;0,316227766;Method Removal;1
Hadoop;hadoop-mapreduce/hadoop-mr-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TaskImpl.java;todo consid nextattemptnumb fail kill calcul best progress;d6546fc0a444228c9d45b5bef89aeef120f98831;mapreduc modifi taskimpl consid non fail non kill task attempt obtain task progress contribut hitesh shah;0,316227766;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/model/ProcessorDefinition.java;todo special error handler local error handler onlli catch definit;92d3cf91f9c35d41da4adaf19f562f12f37b9275;camel tri catch final reus exist error handler handl except remov need code anymor due camel;0,3149703942;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/component/rest/RestApiEndpoint.java;todo need may option context path configur help camel calcul correct url rest servic may need use camel servlet get actual context path port number servlet engin init servlet;6357550e514d2aac88c3dc0bac497448a1e7237e;camel camel swagger java run outsid servlet work progress;0,3146266025;Method Unchanged;1
Gerrit;gerrit-server/src/main/java/com/google/gerrit/server/change/PostReview.java;todo support generic label assign;0e0a41a281263d44c1a8d25cf2eba8ab78a96f0b;fulli support vote arbitrari label most todo cleanup origin ignor unknown label without know sure right long term approach semant chang chang can longer possibl consid submitt publish comment screen contain complet undefin label chang id fe aff da;0,3131121455;Method Unchanged;4
Camel;camel-core/src/test/java/org/apache/camel/management/JmxInstrumentationCustomMBeanTest.java;todo rout temporari disabl code instrumentationlifecyclestrategi fix verifycount mbsc new objectnam domainnam type rout;cf11eb8fb4e6ca187b573513e49b58cdc361771b;camel rout now also jmx instrument time alter rout runtim rout model whether jmx enabl;0,3127716211;Method Changed;2
Tomcat;java/org/apache/catalina/loader/WebappClassLoader.java;fixm cach;7bf4b9e78eea417fae3f9390616964baa4341f64;refactor reduc impact memori footprint resourc cach within web applic class loader main chang webresourc cach everyth apart class webresourc respons ebcdic convers properti file class loader cach now cach last modifi time resourc load class loader load class;0,3104602103;Method Changed;2
Camel;components/camel-blueprint/src/main/java/org/apache/camel/blueprint/handler/CamelNamespaceHandler.java;gnodet initi camelcontextfactorybean now done end blueprint contain creation use componentdefinitionregistryprocessor call bean initi call #afterpropertiesset #init comment mechan now requir #afterpropertiesset method camelcontext will search blueprint bean bean implement known interfac lifecycl strategi etc automat wire camelcontext howev blueprint support real factori order need actual access bean lead circular except look camelcontext;3aa4782d3e6ffcc0dfdcdfe7c833ad309ac18c52;camel @endpointinject work bean creat blueprint;0,3099652099;Method Changed;1
Tomcat;modules/tomcat-lite/java/org/apache/tomcat/lite/http/HttpConnector.java;todo check ssl connect now second request receiv ssl connect just send;77cd50489f851c91f1d1b17000ebf1e6ce643020;move connect pool top level class start add code still miss evict kept aliv connect queue limit number activ request per host probabl start make spdi like part http request upgrad support end etc now load test seem work oom due compress spdi use memori per connect current test don enabl compress accept incom connect;0,3093991728;Method Removal;1
Camel;components/camel-script/src/test/java/org/apache/camel/builder/script/JavaScriptExpressionTest.java;todo current test fail javascript express createroutebuild return fals fix need figur get express return right valu;62b7a6dfa2676ee4386cc8b4e81ce8a5d08bc8f3;fix test;0,3086066999;Method Unchanged;2
Camel;camel-core/src/main/java/org/apache/camel/queue/QueueEndpoint.java;can creat specif exchang generic perhap better implement;0376020ee24d9f0ad345e0839be4035f93aae944;improv camel client can now creat exchang endpoint specifi exchangepattern want use exchang via endpoint createexchang pattern;0,3086066999;Method Removal;3
Tomcat;java/org/apache/tomcat/util/net/JIoEndpoint.java;todo gotta catch rejectedexecutionexcept proper handl;5045a8da928a1b8f1916efabbc3155f95a92c8c9;fix todo handl rejectedexecutionexcept bio add support associ log messag align bio nio apr;0,3061862178;Method Changed;4
Camel;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;todo optim reus error handler instead re build exchang pair rework error handl support fine grain error handl;39cf1c051994e8359b1e9436923f2b2edea2c95a;camel optim multicast splitter recipi list re use error handler sub messag reduc memori consumpt;0,3038218101;Method Changed;5
Camel;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;todo deprec method return process processorbuild setoutbodi builder outbodi convertto type;c80a9c9c541414c4b546d5ec934a9d57bea55f05;@deprec method remov camel;0,3015113446;Method Unchanged;3
Camel;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;todo deprec method return process processorbuild setfaultbodi builder faultbodi convertto type;c80a9c9c541414c4b546d5ec934a9d57bea55f05;@deprec method remov camel;0,3015113446;Method Unchanged;3
